Date,Open,High,Low,Close,Volume,Adj Close
8/1/79,51.624962,56.749916,51,53.25024,5481100,0.350942
7/2/79,50.00016,51.99984,49.125122,51.624962,6186900,0.340231
6/1/79,49.125122,50.749916,48,50.00016,5273300,0.329523
5/1/79,49.125122,51.624962,48.50016,49.125122,5967200,0.323756
4/2/79,47.49984,49.750084,46.874878,49.125122,5876800,0.319202
3/1/79,45.99984,49.624798,45.74976,48,6499800,0.311891
2/1/79,48.250084,49.375202,45.50016,45.99984,6410200,0.298894
1/2/79,47.124958,50.375038,46.75008,48.250084,5675700,0.30911
12/1/78,47.625122,49.5,45.74976,47.124958,4352100,0.301902
11/1/78,48.50016,51,46.624802,47.124958,5954200,0.301902
10/2/78,53.00016,53.875202,45.99984,47.49984,7174000,0.300194
9/1/78,54.250084,55.249916,51.74976,52.874878,8298200,0.334164
8/1/78,53.625122,57.624962,53.25024,54.250084,7238400,0.338804
7/3/78,50.375038,54.50016,49.874878,53.625122,5816800,0.334901
6/1/78,52.874878,54.875038,49.249916,50.49984,5592000,0.315383
5/1/78,52.249916,54.74976,49.874878,52.874878,7675400,0.326156
4/3/78,46.624802,53.49984,45.875042,52.249916,9550000,0.322301
3/1/78,44.625122,47.875198,43.624802,46.624802,5106500,0.287603
2/1/78,45.74976,48,44.25024,44.74992,5547000,0.276038
1/3/78,49.624798,49.624798,45,45.74976,7010700,0.282205
12/1/77,50.124962,50.49984,47.375042,49.874878,6914700,0.304258
11/1/77,49.874878,52.750084,48.875038,50.124962,4814800,0.305783
10/3/77,51.374878,51.875038,48.99984,50.124962,5065600,0.302436
9/1/77,53.375038,55.125122,50.375038,51.250084,4629000,0.309225
8/1/77,54.374878,55.375202,51.624962,53.375038,4842300,0.318727
7/1/77,56.49984,56.49984,54,54.374878,5856200,0.324697
6/1/77,54.250084,57.250084,54,56.49984,5788800,0.337386
5/2/77,53.875202,55.624798,52.249916,54.250084,5692300,0.32069
4/1/77,49.125122,54.374878,47.875198,53.875202,8918100,0.318474
3/1/77,50.625122,52.5,48.99984,49.125122,4997000,0.290395
2/1/77,52.874878,53.375038,49.750084,50.49984,5557100,0.295853
1/3/77,54.99984,55.874878,52.249916,52.874878,6331400,0.309767
12/1/76,50.625122,55.750084,50.625122,55.624798,9157500,0.325877
11/1/76,53.375038,53.749916,50.124962,50.625122,4734900,0.294102
10/1/76,54.124798,54.50016,50.124962,53.375038,6745800,0.310078
9/1/76,53.00016,57,52.375202,54.124798,4540500,0.314434
8/2/76,54.50016,56.625122,52.125122,53.00016,3273800,0.305374
7/1/76,57.124798,59.25024,53.25024,54.50016,4654800,0.314016
6/1/76,50.875202,58.249916,50.625122,57.124798,5532400,0.329139
5/3/76,53.749916,54,49.874878,50.875202,4042300,0.290908
4/1/76,52.5,56.00016,51.250084,53.749916,4778900,0.307346
3/1/76,53.375038,54.250084,49.750084,52.5,5197900,0.300199
2/2/76,55.874878,55.874878,50.875202,53.375038,5547200,0.302862
1/2/76,46.125122,56.749916,45.99984,56.00016,6376200,0.317757
12/1/75,48.250084,48.74976,45.124802,46.125122,3347100,0.261724
11/3/75,48,50.00016,47.00016,48.250084,2568000,0.271524
10/1/75,44.00016,49.249916,42.25008,48.124798,3156900,0.270819
9/2/75,46.24992,47.00016,42,44.00016,3057800,0.247608
8/1/75,47.124958,47.375042,41.375042,46.24992,2931200,0.257834
7/1/75,52.624798,52.750084,46.5,47.25024,4016000,0.263411
6/2/75,45.74976,52.874878,44.49984,52.624798,4005400,0.293373
5/1/75,46.5,48.50016,44.49984,45.374878,4326400,0.250816
4/1/75,45.99984,48.99984,44.25024,45.99984,4200400,0.25427
3/3/75,44.124958,49.5,43.24992,45.99984,4933600,0.25427
2/3/75,38.625122,45.624958,38.124958,44.124958,5476500,0.243906
1/2/75,33.374878,39.74976,32.375042,38.625122,4952700,0.21152
12/2/74,36.74976,36.74976,30.74976,33.374878,3461200,0.182769
11/1/74,38.25024,40.5,33.25008,37.125122,3631600,0.201079
